LICENSE;SPDX
ACM;
AGPL;AGPL-1.0-only
AGPL-3;AGPL-3.0-only
AGPL (>= 3);AGPL-3.0-or-later
Apache License;Apache-1.0
Apache License (== 2);Apache-2.0
Apache License (== 2.0);Apache-2.0
Apache License (>= 2);Apache-2.0
Apache License (>= 2.0);Apache-2.0
Apache License 2.0;Apache-2.0
Apache License Version 2.0;Apache-2.0
Artistic-2.0;Artistic-2.0
Artistic License 2.0;Artistic-2.0
BSD 2-clause License;BSD-2-Clause
BSD 3-clause License;BSD-3-Clause
BSD_2_clause;BSD-2-Clause
BSD_3_clause;BSD-3-Clause
BSL;BSL-1.0
BSL-1.0;BSL-1.0
CC BY-NC-SA 4.0;CC-BY-NC-SA-4.0
CC BY-NC 4.0;CC-BY-NC-4.0
CC BY-SA 4.0;CC-BY-SA-4.0
CC BY 4.0;CC-BY-4.0
CC0;CC0-1.0
CeCILL;CECILL-1.0
CeCILL-2;CECILL-2.0
CeCILL (>= 2);CECILL-2.0
Common Public License Version 1.0;CPL-1.0
CPL-1.0;CPL-1.0
CPL (>= 2);CPL-1.0
Creative Commons Attribution 4.0 International License;CC-BY-4.0
EPL;EPL-1.0
EPL (>= 1.0);EPL-1.0
EUPL;EUPL-1.0
EUPL-1.1;EUPL-1.1
EUPL (== 1.1);EUPL-1.1
EUPL (>= 1.2);EUPL-1.2
FreeBSD;BSD-2-Clause-FreeBSD
GNU Affero General Public License;GPL-1.0-only
GNU General Public License;GPL-1.0-only
GNU General Public License (>= 2);GPL-2.0-or-later
GNU General Public License (>= 3);GPL-3.0-or-later
GNU General Public License version 2;GPL-2.0-only
GNU General Public License version 3;GPL-3.0-only
GNU Lesser General Public License;LGPL-2.1-only
GPL;GPL-1.0-only
GPL-2;GPL-2.0-only
GPL-3;GPL-3.0-only
GPL (<= 2);GPL-2.0-only
GPL (<= 2.0);GPL-2.0-only
GPL (== 2);GPL-2.0-only
GPL (> 2);GPL-2.0-or-later
GPL (> 3);GPL-3.0-or-later
GPL (>= 1.0);GPL-1.0-or-later
GPL (>= 2);GPL-2.0-or-later
GPL (>= 2.0);GPL-2.0-or-later
GPL (>= 2.1);GPL-2.0-or-later
GPL (>= 2.10);GPL-2.0-or-later
GPL (>= 2.15);GPL-2.0-or-later
GPL (>= 2.15.1);GPL-2.0-or-later
GPL (>= 2.2);GPL-2.0-or-later
GPL (>= 3);GPL-3.0-or-later
GPL (>= 3.0);GPL-3.0-or-later
GPL (>= 3.0.0);GPL-3.0-or-later
GPL (>= 3.2);GPL-3.0-or-later
GPL (>= 3.3.2);GPL-3.0-or-later
GPL (>= 3.5.0);GPL-3.0-or-later
LGPL;LGPL-2.0-only
LGPL-2;LGPL-2.0-only
LGPL-2.1;LGPL-2.0-only
LGPL-3;LGPL-3.0-only
LGPL (>= 2);LGPL-2.0-or-later
LGPL (>= 2.0);LGPL-2.0-or-later
LGPL (>= 2.0, < 3);LGPL-2.0-or-later
LGPL (>= 2.1);LGPL-2.0-or-later
LGPL (>= 3);LGPL-3.0-or-later
LGPL (>= 3.0);LGPL-3.0-or-later
Lucent Public License;LPL-1.0
MIT;MIT
MIT License;MIT
Mozilla Public License;MPL-1.0
Mozilla Public License 1.1;MPL-1.1
Mozilla Public License 2.0;MPL-2.0
Mozilla Public License Version 2.0;MPL-2.0
MPL;MPL-1.0
MPL-1.1;MPL-1.1
MPL-2.0;MPL-2.0
MPL (== 2.0);MPL-2.0
MPL (>= 2);MPL-2.0
MPL (>= 2.0);MPL-2.0
Unlimited;
